city,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
shakawe,-18.37,21.85,96.21,14,73,3.44,1603901952,BW
cape town,-33.93,18.42,62.8,67,20,19.46,1603901700,ZA
vytegra,61.01,36.45,45.52,84,30,8.1,1603901947,RU
husavik,66.04,-17.34,41.0,75,75,16.11,1603901953,IS
brewster,41.4,-73.62,47.95,100,90,4.7,1603901787,US
geraldton,-28.77,114.6,64.4,72,0,12.75,1603901886,AU
dubbo,-32.25,148.62,48.2,87,10,2.24,1603901953,AU
port hardy,50.7,-127.42,48.2,100,75,6.93,1603901893,CA
bundaberg,-24.85,152.35,69.62,94,2,4.7,1603901953,AU
codrington,-38.27,141.97,47.82,93,36,5.84,1603901928,AU
chengde,40.97,117.94,42.75,51,100,2.95,1603901953,CN
rikitea,-23.12,-134.97,74.5,83,99,14.07,1603901953,PF
xiaoshi,41.3,124.12,26.6,73,0,2.24,1603901953,CN
lavras,-21.25,-45.0,84.61,43,9,9.93,1603901892,BR
mwanza,-2.52,32.9,80.6,54,75,11.41,1603901925,TZ
mar del plata,-38.0,-57.56,62.92,63,0,9.17,1603901880,AR
atuona,-9.8,-139.03,77.25,76,30,20.33,1603901716,PF
ushuaia,-54.8,-68.3,42.8,56,40,13.87,1603901954,AR
busselton,-33.65,115.33,54.01,47,0,13.04,1603901954,AU
te anau,-45.42,167.72,44.98,90,79,1.97,1603901899,NZ
samana,19.21,-69.34,84.2,74,40,4.7,1603901954,DO
mataura,-46.19,168.86,48.0,90,92,3.0,1603901859,NZ
saint-ambroise,48.55,-71.33,28.4,74,90,9.17,1603901954,CA
punta arenas,-53.15,-70.92,48.09,49,75,34.45,1603901859,CL
san quintin,30.48,-115.95,67.96,23,0,3.96,1603901955,MX
butaritari,3.07,172.79,80.44,68,43,1.39,1603901873,KI
meulaboh,4.14,96.13,78.06,83,100,2.26,1603901879,ID
kudahuvadhoo,2.67,72.89,83.64,75,89,12.3,1603901955,MV
torbay,47.67,-52.73,38.34,93,90,12.75,1603901861,CA
vitoria da conquista,-14.87,-40.84,78.6,74,93,4.0,1603901924,BR
koungou,-12.73,45.2,80.6,78,90,3.36,1603901955,YT
kualakapuas,-3.01,114.39,76.05,94,86,2.46,1603901955,ID
vardo,70.37,31.11,37.4,86,75,12.75,1603901925,NO
saint george,37.1,-113.58,50.05,26,1,4.7,1603901770,US
avarua,-21.21,-159.78,69.8,88,53,5.82,1603901955,CK
vaini,-21.2,-175.2,71.6,83,20,8.05,1603901854,TO
ambon,-3.7,128.18,81.0,94,100,7.2,1603901857,ID
bilma,18.69,12.92,86.18,13,0,6.06,1603901956,NE
carauari,-4.88,-66.9,95.02,47,99,2.77,1603901894,BR
callaway,30.15,-85.57,83.17,78,90,20.8,1603901956,US
quatre cocos,-20.21,57.76,73.99,74,92,5.99,1603901956,MU
bondo,3.81,23.69,74.84,93,94,5.41,1603901956,CD
hermanus,-34.42,19.23,66.0,61,91,8.01,1603901880,ZA
hobart,-42.88,147.33,50.0,87,90,2.24,1603901838,AU
yulara,-25.24,130.99,75.2,13,0,11.41,1603901956,AU
nikolskoye,59.7,30.79,46.47,81,40,2.24,1603901869,RU
akot,21.1,77.06,73.99,45,0,3.69,1603901956,IN
mahebourg,-20.41,57.7,73.99,74,96,5.99,1603901885,MU
barra do corda,-5.5,-45.25,100.11,34,73,3.91,1603901956,BR
tiksi,71.69,128.87,0.3,90,99,22.79,1603901871,RU
tasiilaq,65.61,-37.64,37.4,27,75,19.46,1603901887,GL
cidreira,-30.18,-50.21,69.28,77,98,14.38,1603901906,BR
tall kayf,37.08,41.07,71.71,21,100,2.91,1603902017,TR
gazanjyk,39.24,55.52,51.55,41,0,18.32,1603902017,TM
oltu,40.55,42.0,60.69,33,0,3.36,1603902017,TR
